,Timestamp,Game Title,Rank,Display Name,Viewers,Channel Followers,Total Channel Views
184,2018-10-03 22:19,Tom Clancy's Rainbow Six: Siege,2,Beaulo,1232,201827,1743263
185,2018-10-03 22:19,Tom Clancy's Rainbow Six: Siege,3,Matimi0,727,308034,5056725
186,2018-10-03 22:19,Tom Clancy's Rainbow Six: Siege,4,Bnans,705,67413,945387
187,2018-10-03 22:19,Tom Clancy's Rainbow Six: Siege,5,yuukfps,295,28917,158275
188,2018-10-03 22:19,Tom Clancy's Rainbow Six: Siege,6,wagonip,192,5762,17349
189,2018-10-03 22:19,Tom Clancy's Rainbow Six: Siege,7,A_Jaxx,177,60712,1077427
190,2018-10-03 22:19,Tom Clancy's Rainbow Six: Siege,8,Skittlz,174,46212,216637
191,2018-10-03 22:19,Tom Clancy's Rainbow Six: Siege,9,EasilyyR6,145,5905,59400
192,2018-10-03 22:19,Tom Clancy's Rainbow Six: Siege,10,여름장마_,116,6588,678700
193,2018-10-03 22:19,StarCraft II,1,Destiny,4576,290879,84617596
194,2018-10-03 22:19,StarCraft II,2,x5_PiG,691,54138,2547471
195,2018-10-03 22:19,StarCraft II,3,iNcontroLTV,657,108373,18993736
196,2018-10-03 22:19,StarCraft II,4,Neuro,389,32181,2331561
197,2018-10-03 22:19,StarCraft II,5,ViBElol,255,27088,3222589
198,2018-10-03 22:19,StarCraft II,6,JimRsNg,246,30850,2683826
199,2018-10-03 22:19,StarCraft II,7,ProTech,217,49183,27186323
200,2018-10-03 22:19,StarCraft II,8,kiwian,217,22226,1640249
201,2018-10-03 22:19,StarCraft II,9,OgamingSC2,215,79611,39148884
202,2018-10-03 22:19,StarCraft II,10,ESL_SC2,196,233675,75457903
203,2018-10-03 22:19,Mega Man 11,1,uzra,2874,125841,31085581
204,2018-10-03 22:19,Mega Man 11,2,Calebhart42,2784,135876,13055365
205,2018-10-03 22:19,Mega Man 11,3,PJDiCesare,301,28701,3189342
206,2018-10-03 22:19,Mega Man 11,4,TomFawkes,260,47293,1239838
207,2018-10-03 22:19,Mega Man 11,5,GameAttackTeam,213,10353,515256
208,2018-10-03 22:19,Mega Man 11,6,老王實況,139,6986,728787
209,2018-10-03 22:19,Mega Man 11,7,Jchensor,114,14857,155600
210,2018-10-03 22:19,Mega Man 11,8,EricVanWilderman,76,28533,174230
211,2018-10-03 22:19,Mega Man 11,9,Cloud_805,73,16369,358344
212,2018-10-03 22:19,Mega Man 11,10,Wavy,71,25828,1179855
213,2018-10-03 22:19,MapleStory 2,1,boxbox,2413,1401839,84007909
214,2018-10-03 22:19,MapleStory 2,2,fuslie,1123,163495,5256185
